image,attncheck_correct,response,attncheck_response,slide_number,vignette,audio,sentence,workerid,writer,kind,attncheck,slide_type,rating,Answer.time_in_minutes,condition,order
Sarah,,"[0, 'sarah']",,1,,,,256,,,,bot_check,,0.9045666666666666,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",256,Writer 3,backshifting,Where does the narrator go in the story?,,1,0.9045666666666666,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,257,,,,bot_check,,0.6813666666666667,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",257,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,0.6813666666666667,bare,1
Jennifer,,"[0, 'Jennifer']",,1,,,,66,,,,bot_check,,1.133,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",66,Writer 3,backshifting,What is the name of the roommate in the story?,,3,1.133,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,258,,,,bot_check,,1.81175,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",258,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.81175,clear,1
Mary,,"[0, 'Mary']",,1,,,,259,,,,bot_check,,1.0564666666666667,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",259,Writer 3,backshifting,What did the narrator eat in the story?,,5,1.0564666666666667,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,260,,,,bot_check,,1.7385333333333333,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",260,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.7385333333333333,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,261,,,,bot_check,,0.7020333333333333,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",261,Writer 3,3rdpartyshift,What is the name of the character in the story?,,7,0.7020333333333333,must,1
Barbara,,"[0, 'Barbara']",,1,,,,262,,,,bot_check,,0.6849333333333333,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",262,Writer 3,backshifting,What is the name of the dog in the story?,,7,0.6849333333333333,bare,1
Jessica,,"[0, 'Jessica']",,1,,,,263,,,,bot_check,,0.9863666666666666,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",263,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,0.9863666666666666,bare,1
Margaret,,"[0, 'Margaret']",,1,,,,264,,,,bot_check,,0.7847833333333334,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",264,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,0.7847833333333334,clear,1
Susan,,"[0, 'Susan']",,1,,,,265,,,,bot_check,,1.11655,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",265,Writer 3,backshifting,What is the name of the dog in the story?,,6,1.11655,clear,1
Linda,,"[0, 'Linda']",,1,,,,266,,,,bot_check,,1.5612,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",266,Writer 3,backshifting,What is the name of the dog in the story?,,7,1.5612,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,267,,,,bot_check,,2.28945,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",267,Writer 3,backshifting,What is the name of the dog in the story?,,6,2.28945,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,268,,,,bot_check,,1.1172666666666666,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",268,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.1172666666666666,must,1
Linda,,"[0, 'Linda']",,1,,,,269,,,,bot_check,,0.8288166666666666,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
 Writer 3:  <b> He's also considering San Diego for the same reason. </b>",269,Writer 3,control,What is the name of the person in the story?,,6,0.8288166666666666,good,1
Patricia,,"[0, 'Patricia']",,1,,,,270,,,,bot_check,,3.35815,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",270,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,4,3.35815,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,271,,,,bot_check,,0.5741,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",271,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,0.5741,bare,1
Elizabeth,,"[0, 'elizabeth']",,1,,,,272,,,,bot_check,,0.7861333333333334,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",272,Writer 3,backshifting,What did the narrator eat in the story?,,5,0.7861333333333334,clear,1
Jennifer,,"[0, 'Jennifer']",,1,,,,273,,,,bot_check,,2.26365,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",273,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,5,2.26365,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,274,,,,bot_check,,2.7154333333333334,,
,choice1,,choice2,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
 Writer 3:  <b> He's also considering San Diego for the same reason. </b>",274,Writer 3,control,What is the name of the person in the story?,,1,2.7154333333333334,good,1
Jessica,,"[0, 'jessica']",,1,,,,275,,,,bot_check,,0.9549333333333333,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",275,Writer 3,control,What is the name of the person in the story?,,1,0.9549333333333333,bad,1
Susan,,"[0, 'Susan']",,1,,,,276,,,,bot_check,,0.7730666666666667,,
,choice1,,choice2,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
 Writer 3:  <b> He's also considering San Diego for the same reason. </b>",276,Writer 3,control,What is the name of the person in the story?,,1,0.7730666666666667,good,1
Linda,,"[0, 'Linda']",,1,,,,277,,,,bot_check,,1.1437,,
,choice2,,choice1,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",277,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.1437,bare,1
Jessica,,"[0, 'Jessica']",,1,,,,278,,,,bot_check,,1.2622166666666668,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",278,Writer 3,backshifting,What is the name of the dog in the story?,,2,1.2622166666666668,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,279,,,,bot_check,,0.78055,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",279,Writer 3,backshifting,What is the name of the roommate in the story?,,1,0.78055,must,1
Linda,,"[0, 'Linda']",,1,,,,280,,,,bot_check,,0.8767,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",280,Writer 3,backshifting,What did the narrator eat in the story?,,7,0.8767,bare,1
Linda,,"[0, 'Linda']",,1,,,,281,,,,bot_check,,0.8440333333333333,,
,choice2,,choice1,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",281,Writer 3,control,What is the name of the person in the story?,,7,0.8440333333333333,good,1
Sarah,,"[0, 'Sarah']",,1,,,,282,,,,bot_check,,1.4640166666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",282,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.4640166666666667,bare,1
Linda,,"[0, 'Linda']",,1,,,,283,,,,bot_check,,1.3208166666666667,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",283,Writer 3,backshifting,Where does the narrator go in the story?,,1,1.3208166666666667,bare,1
Linda,,"[0, 'Linda']",,1,,,,284,,,,bot_check,,1.328,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because it's clear that a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>
",284,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,1.328,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,285,,,,bot_check,,0.98965,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",285,Writer 3,control,What is the name of the person in the story?,,1,0.98965,bad,1
Jessica,,"[0, 'jessica']",,1,,,,286,,,,bot_check,,0.6414833333333333,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",286,Writer 3,backshifting,Where does the narrator go in the story?,,5,0.6414833333333333,must,1
Mary,,"[0, 'Mary']",,1,,,,287,,,,bot_check,,1.49395,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",287,Writer 3,backshifting,Where does the narrator go in the story?,,2,1.49395,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,288,,,,bot_check,,2.8861333333333334,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",288,Writer 3,backshifting,Where does the narrator go in the story?,,7,2.8861333333333334,bare,1
Linda,,"[0, 'linda']",,1,,,,289,,,,bot_check,,1.1701,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",289,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,1.1701,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,290,,,,bot_check,,1.0077,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",290,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,2,1.0077,must,1
Patricia,,"[0, 'Patricia']",,1,,,,291,,,,bot_check,,1.3155333333333334,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",291,Writer 3,backshifting,What is the name of the dog in the story?,,7,1.3155333333333334,must,1
Linda,,"[0, 'Linda']",,1,,,,292,,,,bot_check,,1.7944666666666667,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",292,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.7944666666666667,bare,1
Patricia,,"[0, 'Patricia']",,1,,,,293,,,,bot_check,,1.8785666666666667,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",293,Writer 3,control,What is the name of the person in the story?,,1,1.8785666666666667,bad,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,294,,,,bot_check,,1.5223333333333333,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",294,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.5223333333333333,bare,1
Linda,,"[0, 'linda']",,1,,,,295,,,,bot_check,,2.4600666666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",295,Writer 3,backshifting,What did the narrator eat in the story?,,3,2.4600666666666666,clear,1
Susan,,"[0, 'Susan']",,1,,,,296,,,,bot_check,,1.8458,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",296,Writer 3,backshifting,Where does the narrator go in the story?,,7,1.8458,must,1
Sarah,,"[0, 'Sarah']",,1,,,,297,,,,bot_check,,1.2525333333333333,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",297,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.2525333333333333,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,298,,,,bot_check,,2.4743166666666667,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",298,Writer 3,control,What is the name of the person in the story?,,7,2.4743166666666667,good,1
Jessica,,"[0, 'yes']",,1,,,,299,,,,bot_check,,1.1575833333333334,,
Jessica,,"[0, 'jessica']",,1,,,,299,,,,bot_check,,1.1575833333333334,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",299,Writer 3,backshifting,What did the narrator eat in the story?,,3,1.1575833333333334,must,1
Barbara,,"[0, 'Barbara']",,1,,,,300,,,,bot_check,,1.2685666666666666,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire must be approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>
",300,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.2685666666666666,must,1
Patricia,,"[0, 'Patricia']",,1,,,,301,,,,bot_check,,1.3666333333333334,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
 Writer 3:  <b> He's also considering San Diego for the same reason. </b>",301,Writer 3,control,What is the name of the person in the story?,,7,1.3666333333333334,good,1
Jessica,,"[0, 'Jessica']",,1,,,,302,,,,bot_check,,0.9987166666666667,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",302,Writer 3,backshifting,Where does the narrator go in the story?,,7,0.9987166666666667,clear,1
Mary,,"[0, 'mary']",,1,,,,303,,,,bot_check,,0.7141,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",303,Writer 3,control,What is the name of the person in the story?,,7,0.7141,good,1
Margaret,,"[0, 'Margaret']",,1,,,,304,,,,bot_check,,0.9034333333333333,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>",304,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,0.9034333333333333,bare,1
Susan,,"[0, 'Susan']",,1,,,,305,,,,bot_check,,2.8211333333333335,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",305,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,6,2.8211333333333335,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,306,,,,bot_check,,1.2197166666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",306,Writer 3,backshifting,What did the narrator eat in the story?,,4,1.2197166666666666,bare,1
Linda,,"[0, 'Linda']",,1,,,,307,,,,bot_check,,1.1700166666666667,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",307,Writer 3,backshifting,What is the name of the dog in the story?,,6,1.1700166666666667,bare,1
Margaret,,"[0, 'Margaret']",,1,,,,308,,,,bot_check,,2.1608666666666667,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",308,Writer 3,backshifting,What is the name of the roommate in the story?,,2,2.1608666666666667,must,1
Margaret,,"[0, 'Margaret']",,1,,,,309,,,,bot_check,,1.3492333333333333,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",309,Writer 3,backshifting,What is the name of the roommate in the story?,,7,1.3492333333333333,must,1
Susan,,"[0, 'Susan']",,1,,,,105,,,,bot_check,,0.9808666666666667,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because it's clear that a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>
",105,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,0.9808666666666667,clear,1
Sarah,,"[0, 'sarah']",,1,,,,310,,,,bot_check,,0.9651666666666666,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",310,Writer 3,control,What is the name of the person in the story?,,1,0.9651666666666666,bad,1
Jessica,,"[0, 'Jessica']",,1,,,,311,,,,bot_check,,1.3514666666666666,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because it's clear that a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>
",311,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,1.3514666666666666,clear,1
Mary,,"[0, 'Mary']",,1,,,,312,,,,bot_check,,1.2235166666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",312,Writer 3,backshifting,What did the narrator eat in the story?,,1,1.2235166666666666,bare,1
Linda,,"[0, 'Linda']",,1,,,,313,,,,bot_check,,0.93195,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, and he's afraid he won't even finish.
 <p>
Writer 3:  <b> He's run several marathons already, so he's confident he will finish. </b>",313,Writer 3,control,What is the name of the person in the story?,,1,0.93195,bad,1
Jessica,,"[0, 'Jessica']",,1,,,,314,,,,bot_check,,0.8876666666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",314,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,0.8876666666666667,clear,1
Linda,,"[0, 'LINDA']",,1,,,,315,,,,bot_check,,3.3305833333333332,,
